codigo,año,campaña,olores,color,espumas,mat_susp,tem_agua,tem_aire,od,ph,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,Poblacion_partido
SI024,2022.0,otoño,0.0,0.0,0.0,0.0,0.4642857142857142,0.4827586206896552,0.3618609994256175,0.4416135881104035,0.014284306120437315,0.03748395806596777,0.021941805537429474,0.3227272727272727,0.03751470524160168,0.056291390728476824,0.10714285714285714,0.04718810601163542,0.13162705667276053,0.0,0.07629402395910664
BZ078,2021.0,invierno,0.0,0.0,0.0,0.0,0.2232142857142857,0.41379310344827586,0.5703618609994257,0.7048832271762211,0.014284306120437315,0.004150069167819464,0.004940793977241645,0.13636363636363635,0.024007668511175983,0.0695364238410596,0.09999999999999999,0.2352941176470588,0.06307129798903108,0.03361344537815126,0.09638422217934337
SI024,2023.0,primavera,0.0,0.0,0.0,0.0,0.7589285714285714,0.6551724137931034,0.3727742676622631,0.4115862905671823,0.0007128581612259446,0.004150069167819464,0.009941091494943948,0.1772727272727273,0.024007668511175983,0.03642384105960265,0.15306122448979587,0.004524886877828052,0.07221206581352833,0.0,0.07629402395910664
BZ078,2022.0,otoño,1.0,0.0,0.0,0.0,0.3928571428571429,0.37931034482758624,0.6105686387133831,0.8662420382165608,0.09999871428387755,0.01665027750462508,0.018441597275037865,0.21363636363636362,0.0569349608171446,0.15231788079470202,0.3142857142857143,0.6380090497737556,0.2641681901279707,0.0,0.09638422217934337
TI007,2022.0,verano,0.0,1.0,0.0,1.0,0.78125,0.5517241379310345,0.07466973004020679,0.2611464968152868,0.02571289387556268,0.01248354139235654,0.004940793977241645,0.20454545454545453,0.08500718922922748,0.21523178807947022,0.3571428571428571,0.07239819004524886,0.044789762340036565,0.0,0.12524143885456762
TI006,2021.0,primavera,0.0,0.0,0.0,1.0,0.8214285714285714,1.0,0.34462952326249285,0.33757961783439505,0.0028557183653119505,0.008316805280088001,0.002840669019806678,0.14090909090909093,0.141649601324561,0.22989593188268684,0.028571428571428567,0.1066580478345184,0.15447897623400367,0.0,0.12524143885456762
BS093,2023.0,otoño,0.0,0.0,0.0,0.0,0.4910714285714286,0.3103448275862069,0.32912119471568063,0.6454352441613589,0.0007128581612259446,0.004150069167819464,0.006940912984322567,0.11818181818181818,0.0017864145353143654,0.029801324503311265,0.014285714285714277,0.009049773755656104,0.13619744058500916,0.0,0.012078647092104877
BS094,2021.0,invierno,0.0,0.0,0.0,0.0,0.04464285714285715,0.20689655172413796,0.5456634118322802,0.5796178343949043,0.02142717346739067,0.01248354139235654,0.04994347163656237,0.14090909090909093,0.006579234020304128,0.1589403973509934,0.24285714285714283,0.23076923076923075,0.12248628884826325,0.0,0.012078647092104877
TI003,2021.0,invierno,0.0,0.0,0.0,0.0,0.3303571428571429,0.24137931034482757,0.17863296955772545,0.3142250530785564,0.014284306120437315,0.08331805530092169,0.08494555426047849,0.045454545454545456,0.1198640582109712,0.11920529801324506,0.2714285714285714,0.12217194570135745,0.08135283363802559,0.0,0.12524143885456762
EN-adic,2023.0,otoño,0.0,0.0,0.0,0.0,0.4610969387755103,0.24137931034482757,0.47468614096988593,0.6763724598119503,0.008711849180192707,0.04563885588569334,0.04083578687217604,0.2681818181818182,0.0017864145353143654,0.06291390728476823,0.0357142857142857,0.04977375565610859,0.08135283363802559,0.044117647058823525,0.0
CA047,2022.0,verano,0.0,0.0,0.0,0.0,0.7901785714285714,0.5788177339901477,0.4480183802412407,0.46496815286624216,0.0005700008142868775,0.001650027500458341,0.0009405559630798032,0.18181818181818182,0.01965055988845802,0.03311258278145695,0.17857142857142855,0.13574660633484165,0.13162705667276053,0.0,0.9999999999999999
SI022,2024.0,verano,0.0,0.0,0.0,0.0,0.7142857142857144,0.5172413793103448,0.3411832280298679,0.3588110403397029,0.004427149181641689,0.022483708061801035,0.016941508019727172,0.15000000000000002,0.015293451265740058,0.0695364238410596,0.1673469387755101,0.04977375565610859,0.33455210237659966,0.0,0.07629402395910664
