codigo,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,ica,Poblacion_partido,Personas_con_cloacas
TI002,2021.0,verano,24.6,24.0,1.21,7.12,1.0,1.0,1.0,1.0,20000.0,18000.0,4600.0,2.8,6.0,0.68,0.56,6.3,17.0,,26.0,446949.0,144834.0
TI002,2021.0,otoño,15.7,13.0,4.82,7.04,0.0,0.0,0.0,0.0,80000.0,60000.0,5600.0,2.9,4.3,0.51,0.51,4.8,,70.0,36.0,446949.0,144834.0
TI002,2021.0,invierno,14.7,14.0,2.3,6.8,1.0,0.0,0.0,0.0,30000.0,10000.0,240.0,,3.0,0.57,0.58,5.0,21.0,,34.0,446949.0,144834.0
TI002,2021.0,primavera,24.6,29.0,1.81,6.71,1.0,1.0,0.0,1.0,4000.0,1000.0,1350.0,,3.1,0.47,0.39,6.0,19.0,,34.0,446949.0,144834.0
TI003,2021.0,verano,24.0,24.0,2.9,6.82,0.0,1.0,0.0,1.0,4000.0,400.0,20.0,2.6,0.85,0.59,0.29,,33.0,,42.0,446949.0,144834.0
TI003,2021.0,otoño,15.1,13.0,4.87,7.05,0.0,0.0,0.0,0.0,40000.0,20000.0,1500.0,2.9,4.5,0.5,0.5,7.5,,110.0,35.0,446949.0,144834.0
TI003,2021.0,invierno,14.4,11.0,3.31,6.79,0.0,0.0,0.0,0.0,10000.0,10000.0,1700.0,2.1,2.8,0.44,0.48,4.6,20.0,,40.0,446949.0,144834.0
TI003,2021.0,primavera,23.8,31.0,4.71,6.77,0.0,0.0,0.0,1.0,3000.0,2000.0,10.0,2.0,0.3,0.2,0.19,,33.0,,49.0,446949.0,144834.0
TI004,2021.0,verano,24.8,22.0,2.95,6.81,1.0,0.0,1.0,0.0,8000.0,2200.0,800.0,3.2,2.3,0.89,0.44,2.3,50.0,,35.0,446949.0,144834.0
TI004,2021.0,otoño,15.3,13.0,4.74,6.75,1.0,1.0,0.0,0.0,82000.0,25000.0,2100.0,2.9,3.2,0.44,0.44,7.2,,110.0,29.0,446949.0,144834.0
TI004,2021.0,invierno,14.8,14.0,5.33,6.82,1.0,0.0,0.0,0.0,1000.0,500.0,100.0,2.2,0.8,0.36,0.35,2.1,21.0,,57.0,446949.0,144834.0
TI004,2021.0,primavera,24.7,31.0,5.07,6.75,1.0,1.0,0.0,1.0,6200.0,1400.0,200.0,2.2,,0.21,0.2,2.2,31.0,,42.0,446949.0,144834.0
TI005,2021.0,verano,24.5,22.0,1.86,7.11,1.0,1.0,0.0,1.0,20000.0,8000.0,1940.0,3.1,6.9,1.5,0.96,,13.0,,28.0,446949.0,144834.0
TI005,2021.0,otoño,15.3,12.0,4.25,6.74,1.0,1.0,0.0,0.0,120000.0,48000.0,4600.0,2.8,4.5,0.55,0.55,6.5,,85.0,31.0,446949.0,144834.0
TI005,2021.0,invierno,14.4,8.0,1.46,6.8,1.0,1.0,1.0,0.0,100000.0,10000.0,400.0,,5.7,0.65,0.68,8.6,16.0,,30.0,446949.0,144834.0
TI005,2021.0,primavera,23.0,27.0,0.82,7.19,1.0,1.0,0.0,1.0,30000.0,5000.0,1340.0,,9.7,1.1,1.3,12.0,13.0,,28.0,446949.0,144834.0
TI006,2021.0,verano,25.7,26.0,4.31,7.4,0.0,1.0,0.0,0.0,,,,3.9,0.21,1.1,0.27,3.7,31.0,,49.0,446949.0,144834.0
TI006,2021.0,otoño,15.7,13.0,6.9,7.0,0.0,0.0,0.0,0.0,30000.0,1000.0,800.0,2.9,0.57,0.19,,4.3,,150.0,39.0,446949.0,144834.0
TI006,2021.0,invierno,14.5,13.0,2.54,6.8,0.0,0.0,0.0,0.0,10000.0,2000.0,150.0,,4.7,0.48,0.57,6.8,22.0,,43.0,446949.0,144834.0
TI006,2021.0,primavera,25.4,33.0,6.2,6.9,0.0,0.0,0.0,1.0,2000.0,1000.0,58.0,4.2,3.3,,0.14,,36.0,,48.0,446949.0,144834.0
TI007,2021.0,verano,25.1,28.0,2.35,6.82,1.0,1.0,0.0,1.0,4000.0,2500.0,2000.0,3.1,,1.3,0.51,3.7,31.0,,30.0,446949.0,144834.0
TI007,2021.0,otoño,15.9,8.0,1.61,6.7,1.0,0.0,0.0,0.0,9000.0,2000.0,100.0,3.0,5.6,0.62,0.62,7.3,,45.0,40.0,446949.0,144834.0
TI007,2021.0,invierno,14.4,8.0,4.88,6.76,1.0,1.0,1.0,0.0,14000.0,2000.0,690.0,2.1,2.5,0.43,0.37,2.9,16.0,,35.0,446949.0,144834.0
TI007,2021.0,primavera,24.2,32.0,3.9,6.71,0.0,1.0,0.0,1.0,15000.0,12000.0,430.0,,1.8,0.25,0.39,4.2,21.0,,34.0,446949.0,144834.0
TI008,2021.0,verano,26.7,28.0,5.85,6.8,0.0,0.0,0.0,0.0,2000.0,440.0,200.0,3.1,0.06,0.94,0.31,,80.0,,49.0,446949.0,144834.0
TI008,2021.0,otoño,15.2,12.0,8.63,6.92,0.0,0.0,0.0,0.0,,,,2.8,0.16,0.19,,3.9,,160.0,75.0,446949.0,144834.0
TI008,2021.0,invierno,14.6,9.0,10.08,6.88,0.0,0.0,0.0,0.0,1000.0,600.0,100.0,2.1,0.3,,,,22.0,,65.0,446949.0,144834.0
TI008,2021.0,primavera,24.8,32.0,7.27,7.13,0.0,0.0,0.0,0.0,8000.0,150.0,40.0,,0.09,,,,32.0,,49.0,446949.0,144834.0
TI009,2021.0,verano,24.7,28.0,4.17,6.85,0.0,0.0,0.0,0.0,1900.0,360.0,150.0,2.5,0.34,0.59,0.3,,50.0,,49.0,446949.0,144834.0
TI009,2021.0,otoño,12.8,8.0,8.2,6.89,0.0,0.0,0.0,0.0,5300.0,400.0,90.0,3.0,0.98,0.19,,5.8,,140.0,46.0,446949.0,144834.0
TI009,2021.0,invierno,13.8,11.0,9.5,7.06,0.0,0.0,0.0,0.0,,,,2.2,,,,,29.0,,80.0,446949.0,144834.0
TI009,2021.0,primavera,24.0,32.0,6.12,6.96,0.0,0.0,0.0,0.0,5000.0,2000.0,40.0,4.0,0.44,,0.1,,33.0,,49.0,446949.0,144834.0
